"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV1";"Potentiometer_Piher_T-16H_Single_Horizontal";1;"10k";;;
2;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10R";;;
3;"U1";"DIP-8_W7.62mm_Socket";1;"LM386";;;
4;"C2,C3";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
5;"J2";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"Signal O/P";;;
6;"D1";"LED_D3.0mm";1;"LED";;;
7;"C5";"CP_Radial_D8.0mm_P3.50mm";1;"470uF";;;
8;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.2k";;;
9;"C4";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"47nF";;;
10;"C7";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
11;"C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
12;"J3";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"VCC Supply";;;
13;"J1";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"Signal I/P";;;
14;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"3.3uF";;;
